date,snapshot_ts,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team,sentiment_strength,sentiment_w,sentiment_applied
2026-05-28,2026-05-28T14:01:50.033327+00:00,4593803,Jalen Williams,OKC,ast,UNDER,2.5,210,0.3225806451612903,0.3840313839971133,0.7322522374001101,0.06145073883582297,0.19049729039105112,bovada,Bovada,2026-05-29T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-28,2026-05-28T14:01:50.033327+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,6.5,200,0.3333333333333333,0.3892031284971519,0.705798634425457,0.05586979516381857,0.16760938549145565,bovada,Bovada,2026-05-29T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-28,2026-05-28T14:01:50.033327+00:00,4845367,Stephon Castle,SAS,ast,UNDER,5.5,190,0.3448275862068966,0.3851347212094486,0.6135418195572433,0.04030713500255201,0.11689069150740083,bovada,Bovada,2026-05-29T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-28,2026-05-28T14:01:50.033327+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,7.5,111,0.47393364928909953,0.5281438210815015,0.8353347945717795,0.05421017179240195,0.11438346248196818,williamhill_us,Caesars,2026-05-29T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-28,2026-05-28T14:01:50.033327+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,7.5,110,0.47619047619047616,0.5300621239476717,0.8353347945717795,0.05387164775719555,0.11313046029011065,betmgm,BetMGM,2026-05-29T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-28,2026-05-28T14:01:50.033327+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,7.5,110,0.47619047619047616,0.5300621239476717,0.8353347945717795,0.05387164775719555,0.11313046029011065,bovada,Bovada,2026-05-29T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-28,2026-05-28T14:01:50.033327+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,7.5,109,0.4784688995215311,0.5319987837790684,0.8353347945717795,0.0535298842575373,0.111877458098253,draftkings,DraftKings,2026-05-29T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-28,2026-05-28T14:01:50.033327+00:00,4397020,Luguentz Dort,OKC,ast,OVER,1.5,210,0.3225806451612903,0.3573772024481122,0.5545576937401031,0.034796557286821905,0.10786932758914791,bovada,Bovada,2026-05-29T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-28,2026-05-28T14:01:50.033327+00:00,4593803,Jalen Williams,OKC,ast,UNDER,3.5,-115,0.5348837209302325,0.5923191011006106,0.9177862553994196,0.05743538017037808,0.10737918901418497,bovada,Bovada,2026-05-29T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-28,2026-05-28T14:01:50.033327+00:00,4592479,Julian Champagnie,SAS,ast,OVER,1.5,140,0.4166666666666667,0.46127429973950684,0.7140508871522677,0.04460763307284016,0.10705831937481636,bovada,Bovada,2026-05-29T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-28,2026-05-28T14:01:50.033327+00:00,4593803,Jalen Williams,OKC,ast,UNDER,3.5,-116,0.5370370370370371,0.5941494197913945,0.9177862553994196,0.05711238275435737,0.10634719547363103,draftkings,DraftKings,2026-05-29T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-28,2026-05-28T14:01:50.033327+00:00,4066259,De'Aaron Fox,SAS,ast,UNDER,4.5,205,0.32786885245901637,0.36234223363389095,0.5576913936248469,0.034473381174874584,0.10514381258336736,bovada,Bovada,2026-05-29T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-28,2026-05-28T14:01:50.033327+00:00,4592479,Julian Champagnie,SAS,ast,OVER,1.5,138,0.42016806722689076,0.4642504902156973,0.7140508871522677,0.04408242298880655,0.10491616671335957,draftkings,DraftKings,2026-05-29T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
