market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ATS,Minnesota Timberwolves,San Antonio Spurs,Minnesota Timberwolves,2026-05-12,0.7244500513617672,-115.0,0.5348837209302325,-17.055190510495372,10.5,-6.555190510495371,10.5,,High
TOTAL,Over,San Antonio Spurs,Minnesota Timberwolves,2026-05-12,0.2903146422882139,-100.0,0.5,5.95645915678719,218.5,,,224.4564591567872,High
