date,snapshot_ts,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team,sentiment_strength,sentiment_w,sentiment_applied,open_line,open_price,open_snapshot_ts,open_implied_prob,line_move,implied_move,movement_significant,movement_tier
2026-05-24,2026-05-25T02:21:26.461345+00:00,4845367,Stephon Castle,SAS,dd,YES,,1400,0.0666666666666666,0.0868920098015691,0.0868920098015691,0.0202253431349025,0.3033801470235374,fanduel,FanDuel,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,,360,2026-05-24T13:39:47.290714+00:00,0.21739130434782608,,-0.15072463768115948,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4278073,Shai Gilgeous-Alexander,OKC,pa,UNDER,32.5,-115,0.5348837209302325,0.6281545922666237,0.958842227004738,0.0932708713363912,0.1743759768462965,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,37.5,-112,2026-05-24T13:39:47.290714+00:00,0.5283018867924528,-5.0,0.006581834137779685,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,5104157,Victor Wembanyama,SAS,pa,UNDER,42.5,-130,0.5652173913043478,0.6586695652173913,0.9998171214067388,0.0934521739130435,0.1653384615384615,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,28.5,-114,2026-05-24T13:39:47.290714+00:00,0.5327102803738317,14.0,0.03250711093051606,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,5104157,Victor Wembanyama,SAS,pa,UNDER,40.5,-132,0.5689655172413793,0.6615931034482758,0.9994274397079566,0.0926275862068964,0.1627999999999999,fanduel,FanDuel,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,28.5,-122,2026-05-24T13:39:47.290714+00:00,0.5495495495495496,12.0,0.01941596769182974,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4066259,De'Aaron Fox,SAS,pa,OVER,15.5,-115,0.5348837209302325,0.5723081543459912,0.7049947819109539,0.0374244334157587,0.0699674189946792,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,20.5,-112,2026-05-24T13:39:47.290714+00:00,0.5283018867924528,-5.0,0.006581834137779685,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4845367,Stephon Castle,SAS,pa,UNDER,21.5,110,0.4761904761904761,0.4939735528409202,0.5570226427834036,0.017783076650444,0.0373444609659324,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,24.5,-114,2026-05-24T13:39:47.290714+00:00,0.5327102803738317,-3.0,-0.056519804183355615,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4395630,Devin Vassell,SAS,pa,OVER,18.5,-120,0.5454545454545454,0.5523797270309101,0.5769326435289303,0.0069251815763646,0.0126961662233351,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,16.5,-110,2026-05-24T13:39:47.290714+00:00,0.5238095238095238,2.0,0.021645021645021578,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,5104157,Victor Wembanyama,SAS,pr,UNDER,43.5,-110,0.5238095238095238,0.6263714285714286,0.9935692534365496,0.1025619047619047,0.1957999999999999,fanduel,FanDuel,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,38.5,-114,2026-05-24T13:39:47.290714+00:00,0.5327102803738317,5.0,-0.008900756564307888,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4278073,Shai Gilgeous-Alexander,OKC,pr,UNDER,28.5,-105,0.5121951219512195,0.5983641842736839,0.903872677962421,0.0861690623224643,0.1682348359629065,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,33.5,-109,2026-05-24T13:39:47.290714+00:00,0.5215311004784688,-5.0,-0.009335978527249322,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,5104157,Victor Wembanyama,SAS,pr,UNDER,45.5,-135,0.574468085106383,0.6658851063829787,0.997240454348434,0.0914170212765956,0.1591333333333333,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,38.5,-109,2026-05-24T13:39:47.290714+00:00,0.5215311004784688,7.0,0.052936984627914185,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4066259,De'Aaron Fox,SAS,pr,UNDER,20.5,105,0.4878048780487805,0.5001179318413059,0.5437733043784418,0.0123130537925254,0.0252417602746771,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,18.5,-122,2026-05-24T13:39:47.290714+00:00,0.5495495495495496,2.0,-0.06174467150076912,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4845367,Stephon Castle,SAS,pr,OVER,20.5,-120,0.5454545454545454,0.5533571814380899,0.5813756181070203,0.0079026359835444,0.0144881659698314,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,23.5,-104,2026-05-24T13:39:47.290714+00:00,0.5098039215686274,-3.0,0.035650623885918,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,4395630,Devin Vassell,SAS,pr,OVER,20.5,-154,0.6062992125984252,0.6084749206951809,0.616188794856406,0.0021757080967557,0.0035885055621815,draftkings,DraftKings,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,18.5,-114,2026-05-24T13:39:47.290714+00:00,0.5327102803738317,2.0,0.0735889322245935,True,fast
2026-05-24,2026-05-25T02:21:26.461345+00:00,5104157,Victor Wembanyama,SAS,pra,UNDER,49.5,-125,0.5555555555555556,0.6220815165520324,0.9912594596624072,0.0665259609964767,0.1197467297936583,fanduel,FanDuel,2026-05-25T00:13:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False,41.5,-108,2026-05-24T13:39:47.290714+00:00,0.5192307692307693,8.0,0.03632478632478631,True,fast
