date,snapshot_ts,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team,sentiment_strength,sentiment_w,sentiment_applied
2026-05-22,2026-05-22T13:36:28.009315+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,6.5,185,0.3508771929824561,0.4135271464963854,0.7685435497419846,0.06264995351392927,0.1785523675146985,bovada,Bovada,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4845367,Stephon Castle,SAS,ast,UNDER,6.5,135,0.425531914893617,0.4862346165650461,0.8302165927031442,0.06070270167142905,0.14265134892785836,bovada,Bovada,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,7.5,112,0.4716981132075472,0.5335412906437897,0.8839859627824973,0.06184317743624257,0.13110753616483428,betrivers,BetRivers,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,7.5,105,0.4878048780487805,0.547232040758838,0.8839859627824973,0.059427162710057546,0.12182568355561796,bovada,Bovada,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,7.5,104,0.49019607843137253,0.5492645610840412,0.8839859627824973,0.059068482652668675,0.1204997046114441,fanduel,FanDuel,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,7.5,102,0.49504950495049505,0.5533899736252954,0.8839859627824973,0.05834046867480036,0.11784774672309672,draftkings,DraftKings,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,7.5,100,0.5,0.5575978944173746,0.8839859627824973,0.05759789441737462,0.11519578883474924,williamhill_us,Caesars,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,7.5,100,0.5,0.5575978944173746,0.8839859627824973,0.05759789441737462,0.11519578883474924,betonlineag,BetOnline.ag,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4845367,Stephon Castle,SAS,ast,UNDER,7.5,-112,0.5283018867924528,0.5877086148823361,0.9243467407250079,0.05940672808988323,0.11244844959870759,fanduel,FanDuel,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,7.5,-105,0.5121951219512195,0.5679637480759112,0.8839859627824973,0.05576862612469169,0.10888160338630282,betmgm,BetMGM,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4845367,Stephon Castle,SAS,ast,UNDER,7.5,-120,0.5454545454545454,0.6022883747451148,0.9243467407250079,0.05683382929056935,0.10419535369937705,williamhill_us,Caesars,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4845367,Stephon Castle,SAS,ast,UNDER,7.5,-122,0.5495495495495496,0.6057691282258684,0.9243467407250079,0.05621957867631877,0.10230120054215391,betonlineag,BetOnline.ag,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4845367,Stephon Castle,SAS,ast,UNDER,7.5,-125,0.5555555555555556,0.6108742333309735,0.9243467407250079,0.05531867777541788,0.09957361999575226,betmgm,BetMGM,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4845367,Stephon Castle,SAS,ast,UNDER,7.5,-129,0.5633187772925764,0.6174729718074411,0.9243467407250079,0.054154194514864695,0.09613419026282183,betrivers,BetRivers,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4845367,Stephon Castle,SAS,ast,UNDER,7.5,-130,0.5652173913043478,0.6190867937174468,0.9243467407250079,0.05386940241309901,0.09530740426932899,bovada,Bovada,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4845367,Stephon Castle,SAS,ast,UNDER,7.5,-131,0.5670995670995671,0.6206866431433832,0.9243467407250079,0.05358707604381607,0.09449324096275968,draftkings,DraftKings,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,8.5,-157,0.6108949416342413,0.6619352563268467,0.9511637062516107,0.05104031469260539,0.08355006927388275,betrivers,BetRivers,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4066259,De'Aaron Fox,SAS,ast,UNDER,4.5,125,0.4444444444444444,0.4797914436265158,0.6800911056582537,0.035346999182071404,0.07953074815966055,bovada,Bovada,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,8.5,-165,0.6226415094339622,0.6719198389566096,0.9511637062516107,0.049278329522647324,0.07914398377879717,bovada,Bovada,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4066259,De'Aaron Fox,SAS,ast,UNDER,4.5,122,0.45045045045045046,0.4848965487316209,0.6800911056582537,0.034446098281170456,0.07647033818419846,fanduel,FanDuel,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4397020,Luguentz Dort,OKC,ast,OVER,0.5,-135,0.574468085106383,0.61554509855825,0.8483148414521631,0.041077013451866984,0.07150443082362035,bovada,Bovada,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4066259,De'Aaron Fox,SAS,ast,UNDER,4.5,116,0.46296296296296297,0.49553218436725655,0.6800911056582537,0.03256922140429358,0.07034951823327407,williamhill_us,Caesars,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4066259,De'Aaron Fox,SAS,ast,UNDER,4.5,115,0.46511627906976744,0.49736250305804036,0.6800911056582537,0.032246223988272926,0.06932938157478674,betonlineag,BetOnline.ag,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4397020,Luguentz Dort,OKC,ast,OVER,0.5,-140,0.5833333333333334,0.6230805595511578,0.8483148414521631,0.03974722621782445,0.0681381020876991,draftkings,DraftKings,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4592479,Julian Champagnie,SAS,ast,OVER,1.5,115,0.46511627906976744,0.49655949327127114,0.6747377070797922,0.0314432142015037,0.06760291053323286,draftkings,DraftKings,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4592479,Julian Champagnie,SAS,ast,OVER,1.5,115,0.46511627906976744,0.49655949327127114,0.6747377070797922,0.0314432142015037,0.06760291053323286,bovada,Bovada,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4397020,Luguentz Dort,OKC,ast,OVER,0.5,-143,0.588477366255144,0.6274529875346969,0.8483148414521631,0.0389756212795529,0.06623130049602344,betonlineag,BetOnline.ag,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4397020,Luguentz Dort,OKC,ast,OVER,0.5,-145,0.5918367346938775,0.6303084507076204,0.8483148414521631,0.038471716013742885,0.06500393395425524,fanatics,Fanatics,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
2026-05-22,2026-05-22T13:36:28.009315+00:00,4433255,Chet Holmgren,OKC,ast,OVER,1.5,140,0.4166666666666667,0.4429366141934781,0.5917996501787427,0.026269947526811388,0.06304787406434731,betmgm,BetMGM,2026-05-23T00:40:00Z,San Antonio Spurs,Oklahoma City Thunder,,,False
