date,home_team,visitor_team,home_tri,away_tri,home_pts,visitor_pts,pred_margin,pred_total,actual_margin,total_actual,margin_error,total_error
2026-04-08,CLEVELAND CAVALIERS,ATLANTA HAWKS,CLE,ATL,122,116,4.536901716713437,228.45667829699664,6,238,-1.4630982832865627,-9.543321703003357
2026-04-08,DENVER NUGGETS,MEMPHIS GRIZZLIES,DEN,MEM,136,119,-2.2134837051798573,231.881807666346,17,255,-19.213483705179858,-23.118192333654008
2026-04-08,DETROIT PISTONS,MILWAUKEE BUCKS,DET,MIL,137,111,5.5988156893142325,231.502397008554,26,248,-20.401184310685768,-16.497602991446
2026-04-08,LOS ANGELES CLIPPERS,OKLAHOMA CITY THUNDER,LAC,OKC,110,128,-2.40364997003843,222.9093959786712,-18,238,15.59635002996157,-15.0906040213288
2026-04-08,ORLANDO MAGIC,MINNESOTA TIMBERWOLVES,ORL,MIN,132,120,1.568710385739036,230.23708766156088,12,252,-10.431289614260963,-21.762912338439122
2026-04-08,PHOENIX SUNS,DALLAS MAVERICKS,PHX,DAL,112,107,2.5494636390569414,219.5286134252608,5,219,-2.4505363609430586,0.5286134252608008
2026-04-08,SAN ANTONIO SPURS,PORTLAND TRAIL BLAZERS,SAS,POR,112,101,-0.4135964274414796,220.7447315402057,11,213,-11.41359642744148,7.7447315402056915
