date,snapshot_ts,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team,sentiment_strength,sentiment_w,sentiment_applied
2026-05-10,2026-05-09T12:55:32.355626+00:00,4594268,Anthony Edwards,MIN,ast,UNDER,3.5,170,0.37037037037037035,0.44464502877097367,0.8655347597077259,0.07427465840060332,0.20054157768162895,bovada,Bovada,2026-05-10T23:40:00Z,Minnesota Timberwolves,San Antonio Spurs,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,4431678,Tyrese Maxey,PHI,ast,UNDER,4.5,200,0.3333333333333333,0.38243844954707584,0.6607007747582836,0.04910511621374253,0.14731534864122753,bovada,Bovada,2026-05-10T19:40:00Z,Philadelphia 76ers,New York Knicks,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,4431678,Tyrese Maxey,PHI,ast,UNDER,5.5,118,0.45871559633027525,0.5131274776197537,0.821461471593465,0.05441188128947849,0.11861790121106308,fanduel,FanDuel,2026-05-10T19:40:00Z,Philadelphia 76ers,New York Knicks,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,4431678,Tyrese Maxey,PHI,ast,UNDER,5.5,115,0.46511627906976744,0.5185680579483221,0.821461471593465,0.05345177887855462,0.11492132458889237,betmgm,BetMGM,2026-05-10T19:40:00Z,Philadelphia 76ers,New York Knicks,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,4845367,Stephon Castle,SAS,ast,UNDER,5.5,185,0.3508771929824561,0.390595441890586,0.6156655190366552,0.03971824890812986,0.11319700938817001,bovada,Bovada,2026-05-10T23:40:00Z,Minnesota Timberwolves,San Antonio Spurs,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,4594268,Anthony Edwards,MIN,ast,UNDER,4.5,-123,0.5515695067264574,0.6137902334652799,0.966374351651941,0.06222072673882251,0.11280668343705225,betonlineag,BetOnline.ag,2026-05-10T23:40:00Z,Minnesota Timberwolves,San Antonio Spurs,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,4594268,Anthony Edwards,MIN,ast,UNDER,4.5,-124,0.5535714285714286,0.6154918670335054,0.966374351651941,0.06192043846207684,0.11185627593149366,draftkings,DraftKings,2026-05-10T23:40:00Z,Minnesota Timberwolves,San Antonio Spurs,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,4594268,Anthony Edwards,MIN,ast,UNDER,4.5,-125,0.5555555555555556,0.6171783749700134,0.966374351651941,0.0616228194144578,0.1109210749460241,fanduel,FanDuel,2026-05-10T23:40:00Z,Minnesota Timberwolves,San Antonio Spurs,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,4594268,Anthony Edwards,MIN,ast,UNDER,4.5,-125,0.5555555555555556,0.6171783749700134,0.966374351651941,0.0616228194144578,0.1109210749460241,betmgm,BetMGM,2026-05-10T23:40:00Z,Minnesota Timberwolves,San Antonio Spurs,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,4594268,Anthony Edwards,MIN,ast,UNDER,4.5,-125,0.5555555555555556,0.6171783749700134,0.966374351651941,0.0616228194144578,0.1109210749460241,williamhill_us,Caesars,2026-05-10T23:40:00Z,Minnesota Timberwolves,San Antonio Spurs,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,4594268,Anthony Edwards,MIN,ast,UNDER,4.5,-125,0.5555555555555556,0.6171783749700134,0.966374351651941,0.0616228194144578,0.1109210749460241,bovada,Bovada,2026-05-10T23:40:00Z,Minnesota Timberwolves,San Antonio Spurs,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,4431678,Tyrese Maxey,PHI,ast,UNDER,5.5,109,0.4784688995215311,0.5299177853323211,0.821461471593465,0.051448885810790046,0.10752817134455128,betonlineag,BetOnline.ag,2026-05-10T19:40:00Z,Philadelphia 76ers,New York Knicks,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,4431678,Tyrese Maxey,PHI,ast,UNDER,5.5,106,0.4854368932038835,0.5358405799623207,0.821461471593465,0.050403686758437205,0.10383159472238068,williamhill_us,Caesars,2026-05-10T19:40:00Z,Philadelphia 76ers,New York Knicks,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,4431678,Tyrese Maxey,PHI,ast,UNDER,5.5,101,0.4975124378109453,0.5461047928783233,0.821461471593465,0.04859235506737797,0.09767063368542972,draftkings,DraftKings,2026-05-10T19:40:00Z,Philadelphia 76ers,New York Knicks,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,3064514,Julius Randle,MIN,ast,UNDER,3.5,126,0.4424778761061947,0.4855736348951802,0.7297829346994313,0.04309575878898547,0.09739641486310724,williamhill_us,Caesars,2026-05-10T23:40:00Z,Minnesota Timberwolves,San Antonio Spurs,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,4431678,Tyrese Maxey,PHI,ast,UNDER,5.5,100,0.5,0.5482192207390197,0.821461471593465,0.04821922073901974,0.09643844147803948,bovada,Bovada,2026-05-10T19:40:00Z,Philadelphia 76ers,New York Knicks,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,3064514,Julius Randle,MIN,ast,UNDER,3.5,125,0.4444444444444444,0.48724521798269244,0.7297829346994313,0.042800773538248016,0.096301740461058,bovada,Bovada,2026-05-10T23:40:00Z,Minnesota Timberwolves,San Antonio Spurs,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,3064514,Julius Randle,MIN,ast,UNDER,3.5,124,0.44642857142857145,0.4889317259192004,0.7297829346994313,0.04250315449062897,0.09520706605900897,draftkings,DraftKings,2026-05-10T23:40:00Z,Minnesota Timberwolves,San Antonio Spurs,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,3064514,Julius Randle,MIN,ast,UNDER,3.5,124,0.44642857142857145,0.4889317259192004,0.7297829346994313,0.04250315449062897,0.09520706605900897,betonlineag,BetOnline.ag,2026-05-10T23:40:00Z,Minnesota Timberwolves,San Antonio Spurs,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,3064514,Julius Randle,MIN,ast,UNDER,3.5,122,0.45045045045045046,0.4923503230877976,0.7297829346994313,0.041899872637347124,0.09301771725491059,fanduel,FanDuel,2026-05-10T23:40:00Z,Minnesota Timberwolves,San Antonio Spurs,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,3934672,Jalen Brunson,NYK,ast,UNDER,5.5,115,0.46511627906976744,0.5082936192450603,0.7529652135717202,0.0431773401752929,0.09283128137687968,fanatics,Fanatics,2026-05-10T19:40:00Z,Philadelphia 76ers,New York Knicks,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,4845367,Stephon Castle,SAS,ast,UNDER,6.5,105,0.4878048780487805,0.5312669138817087,0.7775517836016353,0.04346203583292818,0.08909717345750279,betmgm,BetMGM,2026-05-10T23:40:00Z,Minnesota Timberwolves,San Antonio Spurs,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,3934672,Jalen Brunson,NYK,ast,UNDER,5.5,111,0.47393364928909953,0.5157883839314926,0.7529652135717202,0.04185473464239309,0.08831349009544953,williamhill_us,Caesars,2026-05-10T19:40:00Z,Philadelphia 76ers,New York Knicks,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,3934672,Jalen Brunson,NYK,ast,UNDER,5.5,110,0.47619047619047616,0.5177066867976627,0.7529652135717202,0.04151621060718658,0.0871840422750918,betonlineag,BetOnline.ag,2026-05-10T19:40:00Z,Philadelphia 76ers,New York Knicks,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,3934672,Jalen Brunson,NYK,ast,UNDER,5.5,110,0.47619047619047616,0.5177066867976627,0.7529652135717202,0.04151621060718658,0.0871840422750918,bovada,Bovada,2026-05-10T19:40:00Z,Philadelphia 76ers,New York Knicks,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,3934672,Jalen Brunson,NYK,ast,UNDER,5.5,109,0.4784688995215311,0.5196433466290594,0.7529652135717202,0.04117444710752832,0.08605459445473418,draftkings,DraftKings,2026-05-10T19:40:00Z,Philadelphia 76ers,New York Knicks,,,False
2026-05-10,2026-05-09T12:55:32.355626+00:00,4845367,Stephon Castle,SAS,ast,UNDER,6.5,100,0.5,0.5416327675402453,0.7775517836016353,0.04163276754024525,0.0832655350804905,bovada,Bovada,2026-05-10T23:40:00Z,Minnesota Timberwolves,San Antonio Spurs,,,False
