date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,books_count,books_h2h,books_spreads,books_totals,bookmaker
2026-05-10,2026-05-10T23:40:00Z,Minnesota Timberwolves,San Antonio Spurs,166.30092173187538,-166.30092173187543,4.5,-4.5,240,-340,218.5,100.43391477913738,-100.43391477913738,11,11,11,8,oddsapi_consensus
2026-05-10,2026-05-10T19:40:00Z,Philadelphia 76ers,New York Knicks,108.45913729024993,-108.45913729024997,1.0,-1.0,-115,-105,213.0,-100.0,-100.0,11,11,5,6,oddsapi_consensus
