season,period,win_logloss,spread_rmse,total_rmse,n
2016,h1,0.6529363351963822,9.798380477806855,13.608129074679331,1230
2017,h1,0.6759615554868471,10.388659309478397,11.80560918677077,709
2018,h1,0.6704934944329618,10.345741002555059,12.504904138680129,1132
2019,h1,0.6819418146825339,10.607019091939435,12.639130664973413,748
2020,h1,0.6665478635404383,10.521264064165504,12.457060922685272,967
2021,h1,0.6687073857281668,11.349996727767182,12.53072745608461,1070
2022,h1,0.653364847715808,10.996743097551818,12.807290439943664,1140
2023,h1,0.6736265684012112,11.148479217160942,12.325387597818624,945
2024,h1,0.6446140444998582,11.478573614751525,12.516880236213145,939
2025,h1,0.6610587696803184,11.011064645624618,12.12419959805435,1230
2016,h2,0.6815691537550221,9.776886315106717,13.652526804919006,1230
2017,h2,0.6762968829331735,10.10861279594968,13.268916153639474,709
2018,h2,0.6800823087454705,10.2529432713252,12.758458992762707,1132
2019,h2,0.6728743116654032,10.523759133206076,12.581632385940464,748
2020,h2,0.6738960821699996,10.695787623440673,13.107296686809157,967
2021,h2,0.6889843477219474,10.828490173554801,12.620070404762425,1070
2022,h2,0.6797103228544105,10.925005569928272,12.30396522011367,1140
2023,h2,0.6780415129340729,10.565568883867817,12.929931763984701,945
2024,h2,0.6747238041028515,11.015651517088378,12.862408296214305,939
2025,h2,0.6688176911598764,11.193460279299064,13.284829211969196,1230
2016,q1,0.6710278883094553,7.489934671842253,8.720796167130043,1230
2017,q1,0.6777133647817856,7.735365106019899,8.202888231837152,709
2018,q1,0.6825266447655045,7.895618269525633,8.466034839539248,1132
2019,q1,0.6789057643341136,8.118499514030512,8.38377107618824,748
2020,q1,0.6765349653686326,8.126529559345826,8.440358398011298,967
2021,q1,0.6891583114398753,8.342847490256077,8.565410036716248,1070
2022,q1,0.6717362022797344,8.188916162855058,8.463153879970493,1140
2023,q1,0.6769761607552297,8.300304118312747,8.377844842616744,945
2024,q1,0.6693629152297351,8.36027955704288,8.47384147834902,939
2025,q1,0.6782829597992998,8.34631404003805,8.236017558847712,1230
2016,q2,0.6921247834312539,7.529640211220465,8.602892386625692,1230
2017,q2,0.6810001032821398,7.801304825213,8.140429994926437,709
2018,q2,0.6808113477356533,7.814742245800001,8.232890136956664,1132
2019,q2,0.6915486927556057,8.117998113933538,8.441374873475853,748
2020,q2,0.6800992276680191,7.885669637094953,8.16172672576834,967
2021,q2,0.6728557070965775,8.250564385114618,8.393745088082603,1070
2022,q2,0.6781192975509553,7.908257738663784,8.669058793635324,1140
2023,q2,0.6843615895258931,8.113449398722747,8.452791944717333,945
2024,q2,0.6668671680537548,8.393369613178159,8.182341731133116,939
2025,q2,0.6827922346755604,8.162974584053075,8.538392604072074,1230
2016,q3,0.6821416763673805,7.745538068419073,8.682270006322344,1230
2017,q3,0.6754387662311571,7.944075564684005,8.552109166754448,709
2018,q3,0.6815046061627023,8.405854060136823,8.108759241829373,1132
2019,q3,0.6723576652578874,8.283310801643584,8.468225070503708,748
2020,q3,0.6814000073928844,8.35072396759484,8.705097636693628,967
2021,q3,0.6888669658593879,8.504005089176633,8.36630880287874,1070
2022,q3,0.6804665635528351,8.494462955991185,8.148228455643222,1140
2023,q3,0.6864257505434488,8.222022694731299,8.459469807656266,945
2024,q3,0.6745938401411765,8.376764950208521,8.344456752784758,939
2025,q3,0.6772800335186885,8.793371228859728,8.617733039237175,1230
2016,q4,0.688160756160569,7.36107420539399,8.973009331275499,1230
2017,q4,0.6877287575615622,7.547628101980151,9.017734675003233,709
2018,q4,0.6905863359760015,7.499301593296219,8.847597580414064,1132
2019,q4,0.6889657516235369,7.542868440725765,8.569280689466725,748
2020,q4,0.683900159678246,7.7521475914045945,9.23670798032118,967
2021,q4,0.690527905167531,7.952400785004802,8.658076926674198,1070
2022,q4,0.689025843445335,8.045963601365557,8.814039688197623,1140
2023,q4,0.6872089071053019,7.590960950883438,8.814926985419985,945
2024,q4,0.6884859160310749,7.857974455755435,8.792320773578986,939
2025,q4,0.6866824761971764,7.886696208780903,9.063714898155341,1230
