date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,bookmaker
2025-10-03,2025-10-03T09:30:00+00:00,New Orleans Pelicans,Melbourne United,,,-24.0,24.0,-110,-110,217.5,,,bovada
2025-10-03,2025-10-04T02:00:00+00:00,Los Angeles Lakers,Phoenix Suns,-110.0,-110.0,0.0,0.0,-110,-110,219.5,,,bovada
