market,side,home,away,date,ev,price,implied_prob,edge,line,pred_margin,market_home_margin,pred_total,tier
ATS,Detroit Pistons,Cleveland Cavaliers,Detroit Pistons,2026-05-11,-0.17875753880935252,-120.0,0.5454545454545454,1.5700953631228476,3.5,5.070095363122848,3.5,,Medium
TOTAL,Over,Cleveland Cavaliers,Detroit Pistons,2026-05-11,0.6685010208415026,100.87035992663785,0.4978335282344401,15.306889381008972,213.5,,,228.80688938100897,High
ATS,Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,2026-05-11,0.3651972048310086,-110.0,0.5238095238095238,6.820269463014329,11.0,-4.179730536985671,-11.0,,High
TOTAL,Over,Los Angeles Lakers,Oklahoma City Thunder,2026-05-11,0.558266947325275,100.8924290412649,0.49777883854179095,12.122537910584214,214.5,,,226.6225379105842,High
