date,home_team,visitor_team,home_ml,away_ml,home_spread,total,bookmaker,home_spread_price,away_spread_price,total_over_price,total_under_price
2025-04-13,Golden State Warriors,Los Angeles Clippers,-136.5,114.375,-2.0,217.0,consensus,-109.83333333333333,,-108.85714285714286,-110.42857142857143
2025-04-13,Minnesota Timberwolves,Utah Jazz,-5428.571428571428,1626.5714285714287,-22.0,231.5,consensus,-109.14285714285714,,-109.57142857142857,-109.57142857142857
2025-04-13,Sacramento Kings,Phoenix Suns,-863.1666666666666,578.3333333333334,-13.5,227.5,consensus,-108.71428571428571,,-109.83333333333333,-110.33333333333333
