date,home_team,visitor_team,h1_total,q1_total,q2_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q1_spread,q1_home_spread_price,q1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price
2026-05-06,New York Knicks,Philadelphia 76ers,110.0,55.0,54.5,-4.0,-110,-110,-2.0,-110,-110,-2.0,-110,-110
2026-05-06,San Antonio Spurs,Minnesota Timberwolves,105.0,53.0,52.5,-5.5,-115,-105,-3.0,-110,-110,-3.0,-105,-115
