date,snapshot_ts,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team,sentiment_strength,sentiment_w,sentiment_applied
2026-05-11,2026-05-11T13:20:38.844001+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,5.5,205,0.32786885245901637,0.4155559616358591,0.9124495803046346,0.08768710917684275,0.2674456829893702,bovada,Bovada,2026-05-12T02:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,4432166,Cade Cunningham,DET,ast,UNDER,7.5,200,0.3333333333333333,0.4179213292156125,0.8972533058818611,0.08458799588227917,0.2537639876468375,bovada,Bovada,2026-05-12T00:10:00Z,Cleveland Cavaliers,Detroit Pistons,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,1966,LeBron James,LAL,ast,UNDER,6.5,150,0.4,0.4807822018799508,0.938548012533005,0.08078220187995078,0.201955504699877,bovada,Bovada,2026-05-12T02:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,3992,James Harden,CLE,ast,UNDER,5.5,185,0.3508771929824561,0.41152106839112623,0.7551696957069234,0.06064387540867011,0.1728350449147098,bovada,Bovada,2026-05-12T00:10:00Z,Cleveland Cavaliers,Detroit Pistons,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,4432166,Cade Cunningham,DET,ast,UNDER,8.5,115,0.46511627906976744,0.5390061764366337,0.9577155948488763,0.0738898973668663,0.15886327933876243,betmgm,BetMGM,2026-05-12T00:10:00Z,Cleveland Cavaliers,Detroit Pistons,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,4432166,Cade Cunningham,DET,ast,UNDER,8.5,115,0.46511627906976744,0.5390061764366337,0.9577155948488763,0.0738898973668663,0.15886327933876243,bovada,Bovada,2026-05-12T00:10:00Z,Cleveland Cavaliers,Detroit Pistons,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,6.5,111,0.47393364928909953,0.5489933079594272,0.9743313737579509,0.07505965867032771,0.1583758797943915,draftkings,DraftKings,2026-05-12T02:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,6.5,110,0.47619047619047616,0.5509116108255974,0.9743313737579509,0.0747211346351212,0.15691438273375446,fanduel,FanDuel,2026-05-12T02:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,6.5,110,0.47619047619047616,0.5509116108255974,0.9743313737579509,0.0747211346351212,0.15691438273375446,bovada,Bovada,2026-05-12T02:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,6.5,108,0.4807692307692308,0.5548035522175387,0.9743313737579509,0.07403432144830796,0.15399138861248063,betonlineag,BetOnline.ag,2026-05-12T02:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,6.5,106,0.4854368932038835,0.5587710652869936,0.9743313737579509,0.0733341720831101,0.1510683944912069,williamhill_us,Caesars,2026-05-12T02:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,6.5,105,0.4878048780487805,0.560783852405156,0.9743313737579509,0.07297897435637557,0.14960689743056987,betmgm,BetMGM,2026-05-12T02:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,4066457,Austin Reaves,LAL,ast,UNDER,5.5,125,0.4444444444444444,0.5059935221190446,0.8547716289417792,0.06154907767460016,0.1384854247678503,bovada,Bovada,2026-05-12T02:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,1966,LeBron James,LAL,ast,UNDER,7.5,-114,0.5327102803738317,0.6000740952912528,0.9818023798233051,0.06736381491742105,0.12645488063445698,fanduel,FanDuel,2026-05-12T02:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,1966,LeBron James,LAL,ast,UNDER,7.5,-115,0.5348837209302325,0.6019215197641934,0.9818023798233051,0.06703779883396088,0.12533153695044852,betmgm,BetMGM,2026-05-12T02:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,1966,LeBron James,LAL,ast,UNDER,7.5,-117,0.5391705069124424,0.6055652878490718,0.9818023798233051,0.06639478093662943,0.12314245695084258,draftkings,DraftKings,2026-05-12T02:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,1966,LeBron James,LAL,ast,UNDER,7.5,-118,0.5412844036697247,0.6073621000927618,0.9818023798233051,0.06607769642303707,0.12207574423917011,betonlineag,BetOnline.ag,2026-05-12T02:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,3992,James Harden,CLE,ast,UNDER,6.5,106,0.4854368932038835,0.544449416385258,0.8788537144130473,0.05901252318137451,0.12156579775363152,fanduel,FanDuel,2026-05-12T00:10:00Z,Cleveland Cavaliers,Detroit Pistons,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,1966,LeBron James,LAL,ast,UNDER,7.5,-120,0.5454545454545454,0.6109067206098594,0.9818023798233051,0.06545217515531399,0.11999565445140892,bovada,Bovada,2026-05-12T02:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,1966,LeBron James,LAL,ast,UNDER,7.5,-122,0.5495495495495496,0.6143874740906129,0.9818023798233051,0.0648379245410633,0.11798376432882018,williamhill_us,Caesars,2026-05-12T02:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,3992,James Harden,CLE,ast,UNDER,6.5,101,0.4975124378109453,0.5547136293012606,0.8788537144130473,0.05720119149031527,0.11497439489553374,betonlineag,BetOnline.ag,2026-05-12T00:10:00Z,Cleveland Cavaliers,Detroit Pistons,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,3992,James Harden,CLE,ast,UNDER,6.5,100,0.5,0.556828057161957,0.8788537144130473,0.056828057161957046,0.11365611432391409,draftkings,DraftKings,2026-05-12T00:10:00Z,Cleveland Cavaliers,Detroit Pistons,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,3992,James Harden,CLE,ast,UNDER,6.5,100,0.5,0.556828057161957,0.8788537144130473,0.056828057161957046,0.11365611432391409,betmgm,BetMGM,2026-05-12T00:10:00Z,Cleveland Cavaliers,Detroit Pistons,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,3992,James Harden,CLE,ast,UNDER,6.5,100,0.5,0.556828057161957,0.8788537144130473,0.056828057161957046,0.11365611432391409,fanatics,Fanatics,2026-05-12T00:10:00Z,Cleveland Cavaliers,Detroit Pistons,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,3992,James Harden,CLE,ast,UNDER,6.5,100,0.5,0.556828057161957,0.8788537144130473,0.056828057161957046,0.11365611432391409,bovada,Bovada,2026-05-12T00:10:00Z,Cleveland Cavaliers,Detroit Pistons,,,False
2026-05-11,2026-05-11T13:20:38.844001+00:00,3992,James Harden,CLE,ast,UNDER,6.5,-102,0.504950495049505,0.5610359779540363,0.8788537144130473,0.0560854829045313,0.11107125045799338,williamhill_us,Caesars,2026-05-12T00:10:00Z,Cleveland Cavaliers,Detroit Pistons,,,False
