date,commence_time,home_team,visitor_team,home_ml,away_ml,home_spread,away_spread,home_spread_price,away_spread_price,total,total_over_price,total_under_price,books_count,books_h2h,books_spreads,books_totals,bookmaker
2026-05-09,2026-05-09T19:10:00Z,Cleveland Cavaliers,Detroit Pistons,-162.61929893375543,162.6192989337554,-4.5,4.5,-340,240,212.5,101.71526544551041,-101.7152654455104,11,11,11,8,oddsapi_consensus
2026-05-09,2026-05-10T00:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,318.8204186687868,-318.8204186687868,8.5,-8.5,-115,-105,211.5,-100.34698126301178,100.34698126301178,11,11,9,5,oddsapi_consensus
