player,team,plays,ladders,sim_ladders,model,_plays_list,top_play,top_play_explain,top_play_baseline,top_play_reasons,top_play_consensus,top_play_line_adv
Ausar Thompson,DET,[],[],[],"{'pts': 7.46216987788331, 'reb': 6.68091788331072, 'ast': 3.051206947082768, 'threes': 0.0, 'stl': 1.7259549525101767, 'blk': 1.5615782903663502, 'tov': 1.479389959294437, 'pra': 17.194294708276797}",[],,,,[],0.0,0.0
Cade Cunningham,DET,"[{'market': 'ast', 'side': 'OVER', 'line': 7.5, 'price': -128.0, 'edge': 0.0019743537291564, 'ev': 0.0035168175800598, 'ev_pct': 0.35168175800598, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 48.5, 'price': 102.0, 'edge': 0.1018225792127195, 'ev': 0.2056816100096934, 'ev_pct': 20.56816100096934, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 49.5, 'price': -105.0, 'edge': 0.100291305175252, 'ev': 0.1958068339135874, 'ev_pct': 19.58068339135874, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 46.5, 'price': -110.0, 'edge': 0.0971347289285512, 'ev': 0.1854390279545069, 'ev_pct': 18.54390279545069, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 45.5, 'price': -108.0, 'edge': 0.0958068623938541, 'ev': 0.1845169201659414, 'ev_pct': 18.45169201659414, 'book': 'fanduel'}, {'market': 'pts', 'side': 'UNDER', 'line': 41.5, 'price': -105.0, 'edge': 0.194405055181045, 'ev': 0.3795527267820402, 'ev_pct': 37.955272678204025, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 42.5, 'price': -120.0, 'edge': 0.1653807640469784, 'ev': 0.3031980674194604, 'ev_pct': 30.319806741946042, 'book': 'williamhill_us'}, {'market': 'pts', 'side': 'UNDER', 'line': 42.5, 'price': -125.0, 'edge': 0.1552797539459682, 'ev': 0.279503557102743, 'ev_pct': 27.950355710274298, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 12.5, 'price': -105.0, 'edge': 0.0067172893429828, 'ev': 0.0131147077648713, 'ev_pct': 1.31147077648713, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 4.5, 'price': 108.0, 'edge': 0.0118081318736234, 'ev': 0.0245609142971368, 'ev_pct': 2.45609142971368, 'book': 'fanduel'}, {'market': 'reb', 'side': 'OVER', 'line': 4.5, 'price': -115.0, 'edge': 0.0036909583494731, 'ev': 0.0069004873490149, 'ev_pct': 0.69004873490149, 'book': 'bovada'}]",[],[],"{'pts': 26.8800745705907, 'reb': 4.949029744449099, 'ast': 7.97002681189778, 'threes': 2.6861038961038965, 'stl': 1.1007121910347717, 'blk': 0.8255341432760789, 'tov': 5.962191034771681, 'pra': 39.79913112693758}","[{'market': 'ast', 'side': 'OVER', 'line': 7.5, 'price': -128.0, 'edge': 0.0019743537291564, 'ev': 0.0035168175800598, 'ev_pct': 0.35168175800598, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 48.5, 'price': 102.0, 'edge': 0.1018225792127195, 'ev': 0.2056816100096934, 'ev_pct': 20.56816100096934, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 49.5, 'price': -105.0, 'edge': 0.100291305175252, 'ev': 0.1958068339135874, 'ev_pct': 19.58068339135874, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 46.5, 'price': -110.0, 'edge': 0.0971347289285512, 'ev': 0.1854390279545069, 'ev_pct': 18.54390279545069, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 45.5, 'price': -108.0, 'edge': 0.0958068623938541, 'ev': 0.1845169201659414, 'ev_pct': 18.45169201659414, 'book': 'fanduel'}, {'market': 'pts', 'side': 'UNDER', 'line': 41.5, 'price': -105.0, 'edge': 0.194405055181045, 'ev': 0.3795527267820402, 'ev_pct': 37.955272678204025, 'book': 'draftkings'}, {'market': 'pts', 'side': 'UNDER', 'line': 42.5, 'price': -120.0, 'edge': 0.1653807640469784, 'ev': 0.3031980674194604, 'ev_pct': 30.319806741946042, 'book': 'williamhill_us'}, {'market': 'pts', 'side': 'UNDER', 'line': 42.5, 'price': -125.0, 'edge': 0.1552797539459682, 'ev': 0.279503557102743, 'ev_pct': 27.950355710274298, 'book': 'bovada'}, {'market': 'ra', 'side': 'OVER', 'line': 12.5, 'price': -105.0, 'edge': 0.0067172893429828, 'ev': 0.0131147077648713, 'ev_pct': 1.31147077648713, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 4.5, 'price': 108.0, 'edge': 0.0118081318736234, 'ev': 0.0245609142971368, 'ev_pct': 2.45609142971368, 'book': 'fanduel'}, {'market': 'reb', 'side': 'OVER', 'line': 4.5, 'price': -115.0, 'edge': 0.0036909583494731, 'ev': 0.0069004873490149, 'ev_pct': 0.69004873490149, 'book': 'bovada'}]","{'market': 'reb', 'side': 'OVER', 'line': 4.5, 'price': 108.0, 'ev': 0.0245609142971368, 'ev_pct': 2.45609142971368, 'book': 'fanduel'}",model 4.9 vs line 4.5 (+0.4),4.949029744449099,"['EV 2.5%', 'Regular price range (-150 to +150)', 'Best line available']",0.25,1.0
Daniss Jenkins,DET,"[{'market': 'pa', 'side': 'UNDER', 'line': 16.5, 'price': -130.0, 'edge': 0.0449589160774972, 'ev': 0.0795426976755719, 'ev_pct': 7.95426976755719, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 16.5, 'price': -135.0, 'edge': 0.0430185580114521, 'ev': 0.0748841565384538, 'ev_pct': 7.48841565384538, 'book': 'draftkings'}]",[],[],"{'pts': 7.570558770806658, 'reb': 2.961037644046095, 'ast': 3.099375160051216, 'threes': 0.8470125480153651, 'stl': 0.5944583866837387, 'blk': 0.2972291933418693, 'tov': 0.8916875800256083, 'pra': 13.63097157490397}","[{'market': 'pa', 'side': 'UNDER', 'line': 16.5, 'price': -130.0, 'edge': 0.0449589160774972, 'ev': 0.0795426976755719, 'ev_pct': 7.95426976755719, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 16.5, 'price': -135.0, 'edge': 0.0430185580114521, 'ev': 0.0748841565384538, 'ev_pct': 7.48841565384538, 'book': 'draftkings'}]","{'market': 'pa', 'side': 'UNDER', 'line': 16.5, 'price': -130.0, 'ev': 0.0795426976755719, 'ev_pct': 7.95426976755719, 'book': 'draftkings'}",,,"['EV 8.0%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Donovan Mitchell,CLE,"[{'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': 124.0, 'edge': 0.0087866431836616, 'ev': 0.0196820807314022, 'ev_pct': 1.96820807314022, 'book': 'draftkings'}, {'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': 100.0, 'edge': 0.0007509288979473, 'ev': 0.0015018577958947, 'ev_pct': 0.15018577958947002, 'book': 'fanatics'}, {'market': 'pa', 'side': 'OVER', 'line': 18.5, 'price': -114.0, 'edge': 0.0900156689092922, 'ev': 0.1689767819876186, 'ev_pct': 16.89767819876186, 'book': 'fanduel'}, {'market': 'pa', 'side': 'OVER', 'line': 18.5, 'price': -130.0, 'edge': 0.0828641045045787, 'ev': 0.1466057233542546, 'ev_pct': 14.66057233542546, 'book': 'draftkings'}, {'market': 'pr', 'side': 'OVER', 'line': 19.5, 'price': -132.0, 'edge': 0.0868134281924623, 'ev': 0.1525811768231156, 'ev_pct': 15.258117682311559, 'book': 'fanduel'}, {'market': 'pr', 'side': 'OVER', 'line': 19.5, 'price': -135.0, 'edge': 0.0856028632621614, 'ev': 0.1490123916045034, 'ev_pct': 14.901239160450341, 'book': 'draftkings'}, {'market': 'pts', 'side': 'OVER', 'line': 16.5, 'price': 114.0, 'edge': 0.2223699082288622, 'ev': 0.4758716036097651, 'ev_pct': 47.58716036097651, 'book': 'fanduel'}, {'market': 'pts', 'side': 'OVER', 'line': 16.5, 'price': 100.0, 'edge': 0.1896596278550304, 'ev': 0.3793192557100608, 'ev_pct': 37.93192557100608, 'book': 'draftkings'}, {'market': 'pts', 'side': 'OVER', 'line': 16.5, 'price': -115.0, 'edge': 0.1547759069247979, 'ev': 0.289363652076796, 'ev_pct': 28.9363652076796, 'book': 'bovada'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 102.0, 'edge': 0.0394996384034735, 'ev': 0.0797892695750166, 'ev_pct': 7.97892695750166, 'book': 'fanduel'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': -110.0, 'edge': 0.0351856355746192, 'ev': 0.0671725770060913, 'ev_pct': 6.717257700609131, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': -115.0, 'edge': 0.0335245060065129, 'ev': 0.0626762503600023, 'ev_pct': 6.267625036000229, 'book': 'bovada'}]",[],[],"{'pts': 28.3860051724138, 'reb': 5.603306896551723, 'ast': 2.5313724137931035, 'threes': 2.667372413793103, 'stl': 0.6214051724137931, 'blk': 0.2071350574712644, 'tov': 2.589188218390805, 'pra': 36.52068448275862}","[{'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': 124.0, 'edge': 0.0087866431836616, 'ev': 0.0196820807314022, 'ev_pct': 1.96820807314022, 'book': 'draftkings'}, {'market': 'ast', 'side': 'OVER', 'line': 2.5, 'price': 100.0, 'edge': 0.0007509288979473, 'ev': 0.0015018577958947, 'ev_pct': 0.15018577958947002, 'book': 'fanatics'}, {'market': 'pa', 'side': 'OVER', 'line': 18.5, 'price': -114.0, 'edge': 0.0900156689092922, 'ev': 0.1689767819876186, 'ev_pct': 16.89767819876186, 'book': 'fanduel'}, {'market': 'pa', 'side': 'OVER', 'line': 18.5, 'price': -130.0, 'edge': 0.0828641045045787, 'ev': 0.1466057233542546, 'ev_pct': 14.66057233542546, 'book': 'draftkings'}, {'market': 'pr', 'side': 'OVER', 'line': 19.5, 'price': -132.0, 'edge': 0.0868134281924623, 'ev': 0.1525811768231156, 'ev_pct': 15.258117682311559, 'book': 'fanduel'}, {'market': 'pr', 'side': 'OVER', 'line': 19.5, 'price': -135.0, 'edge': 0.0856028632621614, 'ev': 0.1490123916045034, 'ev_pct': 14.901239160450341, 'book': 'draftkings'}, {'market': 'pts', 'side': 'OVER', 'line': 16.5, 'price': 114.0, 'edge': 0.2223699082288622, 'ev': 0.4758716036097651, 'ev_pct': 47.58716036097651, 'book': 'fanduel'}, {'market': 'pts', 'side': 'OVER', 'line': 16.5, 'price': 100.0, 'edge': 0.1896596278550304, 'ev': 0.3793192557100608, 'ev_pct': 37.93192557100608, 'book': 'draftkings'}, {'market': 'pts', 'side': 'OVER', 'line': 16.5, 'price': -115.0, 'edge': 0.1547759069247979, 'ev': 0.289363652076796, 'ev_pct': 28.9363652076796, 'book': 'bovada'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 102.0, 'edge': 0.0394996384034735, 'ev': 0.0797892695750166, 'ev_pct': 7.97892695750166, 'book': 'fanduel'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': -110.0, 'edge': 0.0351856355746192, 'ev': 0.0671725770060913, 'ev_pct': 6.717257700609131, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': -115.0, 'edge': 0.0335245060065129, 'ev': 0.0626762503600023, 'ev_pct': 6.267625036000229, 'book': 'bovada'}]","{'market': 'reb', 'side': 'OVER', 'line': 3.5, 'price': 102.0, 'ev': 0.0797892695750166, 'ev_pct': 7.97892695750166, 'book': 'fanduel'}",model 5.6 vs line 3.5 (+2.1),5.603306896551723,"['EV 8.0%', 'Regular price range (-150 to +150)', 'Consensus: 3 books aligned', 'Best line available']",0.5,1.0
Evan Mobley,CLE,"[{'market': 'pr', 'side': 'OVER', 'line': 18.5, 'price': 110.0, 'edge': 0.0430780183646272, 'ev': 0.0904638385657171, 'ev_pct': 9.04638385657171, 'book': 'draftkings'}, {'market': 'pr', 'side': 'OVER', 'line': 17.5, 'price': -118.0, 'edge': 0.0383060554521029, 'ev': 0.0707688143098173, 'ev_pct': 7.07688143098173, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': -115.0, 'edge': 0.028445256693677, 'ev': 0.0531802625142656, 'ev_pct': 5.31802625142656, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': -140.0, 'edge': 0.0177863419649948, 'ev': 0.0304908719399912, 'ev_pct': 3.04908719399912, 'book': 'fanduel'}]",[],[],"{'pts': 14.68600652818991, 'reb': 7.412157270029674, 'ast': 4.43246350148368, 'threes': 1.0647697329376855, 'stl': 1.1479495548961427, 'blk': 1.982821958456973, 'tov': 2.087181008902077, 'pra': 26.530627299703266}","[{'market': 'pr', 'side': 'OVER', 'line': 18.5, 'price': 110.0, 'edge': 0.0430780183646272, 'ev': 0.0904638385657171, 'ev_pct': 9.04638385657171, 'book': 'draftkings'}, {'market': 'pr', 'side': 'OVER', 'line': 17.5, 'price': -118.0, 'edge': 0.0383060554521029, 'ev': 0.0707688143098173, 'ev_pct': 7.07688143098173, 'book': 'fanduel'}, {'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': -115.0, 'edge': 0.028445256693677, 'ev': 0.0531802625142656, 'ev_pct': 5.31802625142656, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': -140.0, 'edge': 0.0177863419649948, 'ev': 0.0304908719399912, 'ev_pct': 3.04908719399912, 'book': 'fanduel'}]","{'market': 'ra', 'side': 'UNDER', 'line': 13.5, 'price': -115.0, 'ev': 0.0531802625142656, 'ev_pct': 5.31802625142656, 'book': 'draftkings'}",,,"['EV 5.3%', 'Friendly price (~-110)', 'Regular price range (-150 to +150)', 'Best line available']",0.25,1.0
Jalen Duren,DET,[],[],[],"{'pts': 9.940443004899292, 'reb': 7.686385193249865, 'ast': 2.1845001633097443, 'threes': 0.0, 'stl': 0.7284616222101252, 'blk': 1.0016347305389222, 'tov': 2.367500272182907, 'pra': 19.811328361458894}",[],,,,[],0.0,0.0
James Harden,CLE,"[{'market': 'pa', 'side': 'UNDER', 'line': 30.5, 'price': 120.0, 'edge': 0.0589422494780458, 'ev': 0.1296729488517009, 'ev_pct': 12.967294885170089, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 31.5, 'price': -135.0, 'edge': 0.0415234945901556, 'ev': 0.0722816387310118, 'ev_pct': 7.22816387310118, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 31.5, 'price': 100.0, 'edge': 0.0735438888138823, 'ev': 0.1470877776277646, 'ev_pct': 14.70877776277646, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 31.5, 'price': 100.0, 'edge': 0.0735438888138823, 'ev': 0.1470877776277646, 'ev_pct': 14.70877776277646, 'book': 'fanduel'}, {'market': 'ra', 'side': 'OVER', 'line': 8.5, 'price': 114.0, 'edge': 0.0563775705381152, 'ev': 0.1206480009515665, 'ev_pct': 12.06480009515665, 'book': 'fanduel'}, {'market': 'ra', 'side': 'OVER', 'line': 8.5, 'price': 110.0, 'edge': 0.0544194040939675, 'ev': 0.1142807485973317, 'ev_pct': 11.42807485973317, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 4.5, 'price': 114.0, 'edge': 0.0012941691762451, 'ev': 0.0027695220371646, 'ev_pct': 0.27695220371646, 'book': 'draftkings'}]",[],[],"{'pts': 19.335620380434783, 'reb': 4.318792663043478, 'ast': 6.498603260869565, 'threes': 2.48033125, 'stl': 1.5177513586956524, 'blk': 0.7082839673913044, 'tov': 4.6544375, 'pra': 30.153016304347823}","[{'market': 'pa', 'side': 'UNDER', 'line': 30.5, 'price': 120.0, 'edge': 0.0589422494780458, 'ev': 0.1296729488517009, 'ev_pct': 12.967294885170089, 'book': 'fanduel'}, {'market': 'pa', 'side': 'UNDER', 'line': 31.5, 'price': -135.0, 'edge': 0.0415234945901556, 'ev': 0.0722816387310118, 'ev_pct': 7.22816387310118, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 31.5, 'price': 100.0, 'edge': 0.0735438888138823, 'ev': 0.1470877776277646, 'ev_pct': 14.70877776277646, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 31.5, 'price': 100.0, 'edge': 0.0735438888138823, 'ev': 0.1470877776277646, 'ev_pct': 14.70877776277646, 'book': 'fanduel'}, {'market': 'ra', 'side': 'OVER', 'line': 8.5, 'price': 114.0, 'edge': 0.0563775705381152, 'ev': 0.1206480009515665, 'ev_pct': 12.06480009515665, 'book': 'fanduel'}, {'market': 'ra', 'side': 'OVER', 'line': 8.5, 'price': 110.0, 'edge': 0.0544194040939675, 'ev': 0.1142807485973317, 'ev_pct': 11.42807485973317, 'book': 'draftkings'}, {'market': 'reb', 'side': 'OVER', 'line': 4.5, 'price': 114.0, 'edge': 0.0012941691762451, 'ev': 0.0027695220371646, 'ev_pct': 0.27695220371646, 'book': 'draftkings'}]","{'market': 'ra', 'side': 'OVER', 'line': 8.5, 'price': 114.0, 'ev': 0.1206480009515665, 'ev_pct': 12.06480009515665, 'book': 'fanduel'}",,,"['EV 12.1%', 'Regular price range (-150 to +150)', 'Best line available']",0.25,1.0
Jarrett Allen,CLE,"[{'market': 'pa', 'side': 'UNDER', 'line': 16.5, 'price': 114.0, 'edge': 0.027147163277696, 'ev': 0.0580949294142694, 'ev_pct': 5.80949294142694, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 23.5, 'price': -105.0, 'edge': 0.0291973771078822, 'ev': 0.057004402924913, 'ev_pct': 5.7004402924913, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 9.5, 'price': -145.0, 'edge': 0.0025327704812868, 'ev': 0.0042795087442433, 'ev_pct': 0.42795087442433, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': -115.0, 'edge': 0.0018540510855172, 'ev': 0.0034662694207496, 'ev_pct': 0.34662694207496003, 'book': 'fanatics'}]",[],[],"{'pts': 13.354287234042554, 'reb': 7.143895744680851, 'ast': 1.3328595744680851, 'threes': 0.0, 'stl': 0.9410744680851064, 'blk': 2.1958404255319155, 'tov': 1.2547659574468086, 'pra': 21.83104255319149}","[{'market': 'pa', 'side': 'UNDER', 'line': 16.5, 'price': 114.0, 'edge': 0.027147163277696, 'ev': 0.0580949294142694, 'ev_pct': 5.80949294142694, 'book': 'draftkings'}, {'market': 'pr', 'side': 'UNDER', 'line': 23.5, 'price': -105.0, 'edge': 0.0291973771078822, 'ev': 0.057004402924913, 'ev_pct': 5.7004402924913, 'book': 'draftkings'}, {'market': 'ra', 'side': 'UNDER', 'line': 9.5, 'price': -145.0, 'edge': 0.0025327704812868, 'ev': 0.0042795087442433, 'ev_pct': 0.42795087442433, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': -115.0, 'edge': 0.0018540510855172, 'ev': 0.0034662694207496, 'ev_pct': 0.34662694207496003, 'book': 'fanatics'}]","{'market': 'ra', 'side': 'UNDER', 'line': 9.5, 'price': -145.0, 'ev': 0.0042795087442433, 'ev_pct': 0.42795087442433, 'book': 'draftkings'}",,,"['EV 0.4%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
Max Strus,CLE,"[{'market': 'pts', 'side': 'UNDER', 'line': 18.5, 'price': -105.0, 'edge': 0.1584674016252059, 'ev': 0.3093887365063543, 'ev_pct': 30.93887365063543, 'book': 'bovada'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': 120.0, 'edge': 0.051324098311073, 'ev': 0.1129130162843606, 'ev_pct': 11.29130162843606, 'book': 'bovada'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': 110.0, 'edge': 0.0480773450643197, 'ev': 0.1009624246350714, 'ev_pct': 10.096242463507139, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': 100.0, 'edge': 0.0445059164928911, 'ev': 0.0890118329857823, 'ev_pct': 8.90118329857823, 'book': 'fanduel'}]",[],[],"{'pts': 8.66153294117647, 'reb': 5.010259999999999, 'ast': 2.0910823529411764, 'threes': 1.8190823529411764, 'stl': 0.8340549019607841, 'blk': 0.417027450980392, 'tov': 1.2510823529411763, 'pra': 15.762875294117643}","[{'market': 'pts', 'side': 'UNDER', 'line': 18.5, 'price': -105.0, 'edge': 0.1584674016252059, 'ev': 0.3093887365063543, 'ev_pct': 30.93887365063543, 'book': 'bovada'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': 120.0, 'edge': 0.051324098311073, 'ev': 0.1129130162843606, 'ev_pct': 11.29130162843606, 'book': 'bovada'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': 110.0, 'edge': 0.0480773450643197, 'ev': 0.1009624246350714, 'ev_pct': 10.096242463507139, 'book': 'draftkings'}, {'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': 100.0, 'edge': 0.0445059164928911, 'ev': 0.0890118329857823, 'ev_pct': 8.90118329857823, 'book': 'fanduel'}]","{'market': 'reb', 'side': 'UNDER', 'line': 7.5, 'price': 120.0, 'ev': 0.1129130162843606, 'ev_pct': 11.29130162843606, 'book': 'bovada'}",model 5.0 vs line 7.5 (-2.5),5.010259999999999,"['EV 11.3%', 'Regular price range (-150 to +150)', 'Consensus: 3 books aligned', 'Best line available']",0.5,1.0
Tobias Harris,DET,"[{'market': 'pa', 'side': 'OVER', 'line': 14.5, 'price': 114.0, 'edge': 0.0800199737993241, 'ev': 0.1712427439305537, 'ev_pct': 17.12427439305537, 'book': 'draftkings'}]",[],[],"{'pts': 20.52190369318182, 'reb': 7.573207670454545, 'ast': 1.5532646306818183, 'threes': 1.7908845170454544, 'stl': 1.5981408617424244, 'blk': 0.7520662878787879, 'tov': 0.8460745738636365, 'pra': 29.64837599431818}","[{'market': 'pa', 'side': 'OVER', 'line': 14.5, 'price': 114.0, 'edge': 0.0800199737993241, 'ev': 0.1712427439305537, 'ev_pct': 17.12427439305537, 'book': 'draftkings'}]","{'market': 'pa', 'side': 'OVER', 'line': 14.5, 'price': 114.0, 'ev': 0.1712427439305537, 'ev_pct': 17.12427439305537, 'book': 'draftkings'}",,,"['EV 17.1%', 'Regular price range (-150 to +150)', 'Best line available']",0.0,1.0
