bin,n,p_mean,y_rate,log_loss_overall
"(0.0928, 0.181]",64,0.15308727602859437,0.0625,0.6291957366371405
"(0.181, 0.266]",361,0.2328063287618828,0.24653739612188366,0.6291957366371405
"(0.266, 0.352]",817,0.31399750395220866,0.3182374541003672,0.6291957366371405
"(0.352, 0.438]",1215,0.39796845032850964,0.3893004115226337,0.6291957366371405
"(0.438, 0.524]",1739,0.48315249437319996,0.496262219666475,0.6291957366371405
"(0.524, 0.61]",2083,0.5674042341841666,0.5607297167546808,0.6291957366371405
"(0.61, 0.696]",1958,0.6511907426655692,0.6542390194075587,0.6291957366371405
"(0.696, 0.782]",1461,0.7360651258968431,0.7282683093771389,0.6291957366371405
"(0.782, 0.868]",862,0.8170466991894058,0.8259860788863109,0.6291957366371405
"(0.868, 0.954]",126,0.8909708477606799,0.8650793650793651,0.6291957366371405
