date,home_team,visitor_team,h1_total,q1_total,q2_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q1_spread,q1_home_spread_price,q1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price
2026-05-08,Philadelphia 76ers,New York Knicks,110.0,56.0,54.5,-1.0,-115,-105,-1.0,-105,-115,-0.5,-115,-105
2026-05-08,Minnesota Timberwolves,San Antonio Spurs,110.5,56.0,55.0,2.5,-110,-110,1.0,-105,-115,1.0,-105,-115
