date,snapshot_ts,player_id,player_name,team,stat,side,line,price,implied_prob,model_prob,model_prob_raw,edge,ev,bookmaker,bookmaker_title,commence_time,home_team,away_team,sentiment_strength,sentiment_w,sentiment_applied
2026-05-09,2026-05-09T12:37:59.552377+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,5.5,180,0.35714285714285715,0.4437354693308672,0.9344269383962577,0.08659261218801007,0.2424593141264283,bovada,Bovada,2026-05-10T00:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-09,2026-05-09T12:37:59.552377+00:00,3992,James Harden,CLE,ast,UNDER,5.5,205,0.32786885245901637,0.39813938865970677,0.7963390937969524,0.0702705362006904,0.21432513541210563,bovada,Bovada,2026-05-09T19:10:00Z,Cleveland Cavaliers,Detroit Pistons,,,False
2026-05-09,2026-05-09T12:37:59.552377+00:00,4432166,Cade Cunningham,DET,ast,UNDER,8.5,145,0.40816326530612246,0.4934911613537408,0.9770159056235782,0.08532789604761837,0.20905334531666497,bovada,Bovada,2026-05-09T19:10:00Z,Cleveland Cavaliers,Detroit Pistons,,,False
2026-05-09,2026-05-09T12:37:59.552377+00:00,1966,LeBron James,LAL,ast,UNDER,6.5,155,0.39215686274509803,0.46469804782981383,0.8757647633098702,0.0725411850847158,0.18498002196602525,bovada,Bovada,2026-05-10T00:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-09,2026-05-09T12:37:59.552377+00:00,4066457,Austin Reaves,LAL,ast,UNDER,4.5,170,0.37037037037037035,0.4331219779188473,0.78871442069355,0.06275160754847697,0.16942934038088775,bovada,Bovada,2026-05-10T00:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-09,2026-05-09T12:37:59.552377+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,6.5,110,0.47619047619047616,0.5520592846258083,0.981982532426024,0.07586880843533217,0.15932449771419754,fanduel,FanDuel,2026-05-10T00:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-09,2026-05-09T12:37:59.552377+00:00,4432166,Cade Cunningham,DET,ast,UNDER,8.5,110,0.47619047619047616,0.5513142906054415,0.9770159056235782,0.0751238144149653,0.15776001027142716,betmgm,BetMGM,2026-05-09T19:10:00Z,Cleveland Cavaliers,Detroit Pistons,,,False
2026-05-09,2026-05-09T12:37:59.552377+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,6.5,100,0.5,0.5722973798639036,0.981982532426024,0.07229737986390361,0.14459475972780722,williamhill_us,Caesars,2026-05-10T00:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-09,2026-05-09T12:37:59.552377+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,6.5,-101,0.5024875621890548,0.5744118077246001,0.981982532426024,0.07192424553554533,0.14313636982816458,betonlineag,BetOnline.ag,2026-05-10T00:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-09,2026-05-09T12:37:59.552377+00:00,1966,LeBron James,LAL,ast,UNDER,7.5,105,0.4878048780487805,0.5570364291155343,0.9493485518271396,0.06923155106675383,0.1419246796868453,betmgm,BetMGM,2026-05-10T00:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-09,2026-05-09T12:37:59.552377+00:00,4066457,Austin Reaves,LAL,ast,UNDER,5.5,110,0.47619047619047616,0.5425388936219203,0.9185132590667708,0.06634841743144415,0.13933167660603274,betonlineag,BetOnline.ag,2026-05-10T00:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
2026-05-09,2026-05-09T12:37:59.552377+00:00,4278073,Shai Gilgeous-Alexander,OKC,ast,UNDER,6.5,-104,0.5098039215686274,0.5806307131972369,0.981982532426024,0.0708267916286095,0.13892947588688775,betrivers,BetRivers,2026-05-10T00:40:00Z,Los Angeles Lakers,Oklahoma City Thunder,,,False
