date,home_team,visitor_team,home_tri,away_tri,home_pts,visitor_pts,pred_margin,pred_total,actual_margin,total_actual,margin_error,total_error
2026-04-12,BOSTON CELTICS,ORLANDO MAGIC,BOS,ORL,113,108,10.98410983874516,218.72855758662632,5,221,5.984109838745161,-2.271442413373677
2026-04-12,CLEVELAND CAVALIERS,WASHINGTON WIZARDS,CLE,WAS,130,117,4.592837731334166,214.54911575112664,13,247,-8.407162268665834,-32.450884248873365
2026-04-12,DALLAS MAVERICKS,CHICAGO BULLS,DAL,CHI,149,128,-6.0136174022550914,224.32843199589684,21,277,-27.013617402255093,-52.671568004103165
2026-04-12,HOUSTON ROCKETS,MEMPHIS GRIZZLIES,HOU,MEM,132,101,13.281973137800245,225.5895738315132,31,233,-17.718026862199757,-7.410426168486794
2026-04-12,INDIANA PACERS,DETROIT PISTONS,IND,DET,121,133,14.529426567861064,222.6369129129276,-12,254,26.529426567861066,-31.363087087072387
2026-04-12,LOS ANGELES CLIPPERS,GOLDEN STATE WARRIORS,LAC,GSW,115,110,6.185429543313722,224.12754384182207,5,225,1.185429543313722,-0.8724561581779255
2026-04-12,LOS ANGELES LAKERS,UTAH JAZZ,LAL,UTA,131,107,3.431514452714047,228.83210373740133,24,238,-20.568485547285952,-9.167896262598674
2026-04-12,MIAMI HEAT,ATLANTA HAWKS,MIA,ATL,143,117,4.640686933303217,229.29609024414816,26,260,-21.359313066696785,-30.70390975585184
2026-04-12,MINNESOTA TIMBERWOLVES,NEW ORLEANS PELICANS,MIN,NOP,132,126,12.123973773881277,224.92469501901653,6,258,6.123973773881277,-33.075304980983475
2026-04-12,NEW YORK KNICKS,CHARLOTTE HORNETS,NYK,CHA,96,110,2.051184346645344,232.2404739531608,-14,206,16.051184346645343,26.2404739531608
2026-04-12,OKLAHOMA CITY THUNDER,PHOENIX SUNS,OKC,PHX,103,135,-4.222900732288201,227.0910325812402,-32,238,27.777099267711797,-10.9089674187598
2026-04-12,PHILADELPHIA 76ERS,MILWAUKEE BUCKS,PHI,MIL,126,106,-11.731131127382069,227.14697139905263,20,232,-31.73113112738207,-4.853028600947368
2026-04-12,PORTLAND TRAIL BLAZERS,SACRAMENTO KINGS,POR,SAC,122,110,2.551861187555036,221.71794252034152,12,232,-9.448138812444963,-10.282057479658476
2026-04-12,SAN ANTONIO SPURS,DENVER NUGGETS,SAS,DEN,118,128,10.030281267429377,231.5356043557824,-10,246,20.030281267429377,-14.464395644217603
2026-04-12,TORONTO RAPTORS,BROOKLYN NETS,TOR,BKN,136,101,3.1483649423799767,223.51304851315507,35,237,-31.851635057620022,-13.48695148684493
