date,home_team,visitor_team,h1_total,q1_total,q2_total,q3_total,q4_total,h1_spread,h1_home_spread_price,h1_away_spread_price,q1_spread,q1_home_spread_price,q1_away_spread_price,q2_spread,q2_home_spread_price,q2_away_spread_price,q3_spread,q3_home_spread_price,q3_away_spread_price,q4_spread,q4_home_spread_price,q4_away_spread_price
2026-05-07,Detroit Pistons,Cleveland Cavaliers,105.0,53.0,52.0,56.5,54.5,-2.0,-105,-115,-1.0,-110,-110,-1.0,-105,-115,-1.5,105,-125,-1.5,120.0,-140
2026-05-07,Oklahoma City Thunder,Los Angeles Lakers,108.5,55.0,53.5,51.5,50.5,-9.0,-115,-105,-4.5,-115,-105,-4.5,-110,-110,-3.5,-115,-105,-3.5,,-120
