season,market,date,stake,price,p_model,pnl,bankroll
2024,h1_ATS,2023-10-24,1.0,-110.0,0.6527616981202361,0.0,100.0
2024,h1_ATS,2023-10-25,1.0,-110.0,0.5559330057676218,0.0,100.0
2024,h1_ATS,2023-10-25,1.0,-110.0,0.577306919395074,0.0,100.0
2024,h1_ATS,2023-10-25,1.0,-110.0,0.5706385678603707,0.0,100.0
2024,h1_ATS,2023-10-25,1.0,-110.0,0.677688136029265,0.0,100.0
2024,h1_ATS,2023-10-26,1.0,-110.0,0.5636466445100683,0.0,100.0
2024,h1_ATS,2023-10-27,1.0,-110.0,0.7135060081166127,0.0,100.0
2024,h1_ATS,2023-10-27,1.0,-110.0,0.5654019202627736,0.0,100.0
2024,h1_ATS,2023-10-27,1.0,-110.0,0.676781838111844,0.0,100.0
2024,h1_ATS,2023-10-27,1.0,-110.0,0.6044630301706988,0.0,100.0
2024,h1_ATS,2023-10-28,1.0,-110.0,0.5484901029843853,0.0,100.0
2024,h1_ATS,2023-10-28,1.0,-110.0,0.5872158481466097,0.0,100.0
2024,h1_ATS,2023-10-28,1.0,-110.0,0.5704372062542652,0.0,100.0
2024,h1_ATS,2023-10-28,1.0,-110.0,0.5819055975323559,0.9090909090909091,100.9090909090909
2024,h1_ATS,2023-11-03,1.0,-110.0,0.5538011572392443,0.9090909090909091,101.81818181818181
2024,h1_ATS,2023-11-03,1.0,-110.0,0.6385564356487232,-1.0,100.81818181818181
2024,h1_ATS,2023-11-10,1.0,-110.0,0.5465158592637901,-1.0,99.81818181818181
2024,h1_ATS,2023-11-10,1.0,-110.0,0.608658742202116,-1.0,98.81818181818181
2024,h1_ATS,2023-11-14,1.0,-110.0,0.5548344021955246,0.9090909090909091,99.72727272727272
2024,h1_ATS,2023-11-14,1.0,-110.0,0.5815221449043211,-1.0,98.72727272727272
2024,h1_ATS,2023-11-14,1.0,-110.0,0.581607217650439,0.9090909090909091,99.63636363636363
2024,h1_ATS,2023-11-17,1.0,-110.0,0.5940014610848848,-1.0,98.63636363636363
2024,h1_ATS,2023-11-17,1.0,-110.0,0.5868233535374818,0.9090909090909091,99.54545454545453
2024,h1_ATS,2023-11-21,1.0,-110.0,0.5586951311389263,0.0,99.54545454545453
2024,h1_ATS,2023-11-21,1.0,-110.0,0.5784755615015881,0.0,99.54545454545453
2024,h1_ATS,2023-11-24,1.0,-110.0,0.6314350826072344,0.9090909090909091,100.45454545454544
2024,h1_ATS,2023-11-28,1.0,-110.0,0.5651100808207686,0.9090909090909091,101.36363636363635
2024,h1_ATS,2023-12-02,1.0,-110.0,0.6073047911751712,0.9090909090909091,102.27272727272725
2024,h1_ATS,2023-12-02,1.0,-110.0,0.5712008152119916,-1.0,101.27272727272725
2024,h1_ATS,2023-12-25,1.0,-110.0,0.596924215161119,0.0,101.27272727272725
2024,h1_ATS,2024-01-15,1.0,-110.0,0.6434156835205023,-1.0,100.27272727272725
